Rank,Coal Companies,"Coal
Gt CO2"
1,Coal India,57.722
2,China Shenhua,36.807
3,Adani,25.383
4,Shanxi Coking,18.445
5,Anglo American,13.488
6,BHP Billiton,12.351
7,Yitai Coal,12.223
8,Datang Intl,12.206
9,China Coal,12.103
10,Peabody Energy,11.484
11,Glencore Xstrata,10.698
12,Datong Coal,10.281
13,Yanzhou Coal,9.788
14,DEH,9.339
15,Exxaro,8.793
16,Yangquan Coal,7.298
17,Mechel,6.739
18,Arch Coal,6.513
19,Alpha Natural Resources,5.458
20,EVRAZ,4.855
21,Mitsubishi,4.738
22,Vale,4.401
23,Raspadskaya,4.084
24,Rio Tinto,3.696
25,Asia Resource,3.181
26,Rusal,3.081
27,Neyveli Lignite,3.035
28,Pingdingshan,3.023
29,Cloud Peak,2.753
30,Sasol,2.731
31,Tata Steel,2.709
32,AGL,2.704
33,Teck,2.603
34,Severstal,2.577
35,Coalspur,2.545
36,Kuzbass Fuel ,2.504
37,Polyus Gold,2.294
38,Energy Ventures,2.184
39,Whitehaven Coal,2.055
40,Banpu,2.04
41,Bayan,1.957
42,RWE,1.943
43,Consol Energy,1.887
44,WHSP,1.851
45,Westmoreland,1.835
46,Resource Generation,1.818
47,Churchill Mining,1.745
48,NTPC,1.74
49,Adaro,1.607
50,Nacco,1.557
51,Idemitsu Kosan,1.53
52,ARLP,1.468
53,Huolinhe Opencut,1.387
54,Golden Energy,1.354
55,Mitsui & Co,1.344
56,CoAL,1.339
57,NLMK,1.288
58,Tata Power,1.062
59,MMK OJSC,1.046
60,Wesfarmers,1.011
61,Kazakhmys,0.998
62,New World Resources,0.972
63,MMC,0.903
64,Itochu,0.878
65,Cockatoo,0.8
66,Shanxi Meijin Energy,0.784
67,Jizhong Energy,0.742
68,Bandanna,0.731
69,Polo Resources,0.726
70,Allete,0.723
71,CLP Holdings,0.696
72,Aspire,0.67
73,Marubeni,0.568
74,China Resources,0.567
75,Walter Energy,0.556
76,Coal Energy,0.503
77,Indika,0.485
78,Arcelor Mittal,0.464
79,FirstEnergy,0.458
80,Black Hills,0.431
81,Wescoal,0.43
82,Grupo Mexico,0.42
83,ARM,0.383
84,Shanxi Coal,0.376
85,Capital Power,0.367
86,PTT,0.359
87,Shanxi Lanhua Sci-Tech,0.338
88,Fortune,0.328
89,Cardero,0.323
90,Zhengzhou Coal,0.319
91,SAIL,0.307
92,JSPL,0.301
93,Shougang Fushan,0.299
94,Jingyuan,0.297
95,Stanmore,0.287
96,Prophecy Coal,0.272
97,Cliffs Natural Resources,0.247
98,James River,0.195
99,CESC,0.185
100,Alcoa,0.18