rank,name,oil_Gt_CO2,gas_Gt_CO2,total_Gt_CO2
1,Gazprom,6.749,37.166,43.915
2,Rosneft,10.666,2.558,13.224
3,PetroChina,4.79,3.801,8.591
4,ExxonMobil,4.307,3.916,8.223
5,Lukoil,5.699,1.288,6.988
6,BP,4.214,2.506,6.719
7,Petrobras,4.707,0.724,5.432
8,Royal Dutch Shell,2.229,2.315,4.544
9,Chevron,2.485,1.588,4.073
10,Novatek,0.497,3.356,3.853
11,Total,2.002,1.8,3.802
12,ConocoPhillips,1.687,1.111,2.798
13,Tatneft,2.556,0.064,2.62
14,ONGC,1.594,0.862,2.457
15,ENI,1.366,0.99,2.356
16,Statoil ,0.981,1.004,1.985
17,Sinopec,1.34,0.381,1.722
18,CNOOC ,1.175,0.373,1.548
19,Occidental,1.024,0.303,1.327
20,BG Group,0.533,0.588,1.122
21,Canadian Natural Resources ,0.788,0.208,0.995
22,Anadarko Petroleum ,0.482,0.502,0.984
23,Apache ,0.569,0.4,0.969
24,Chesapeake Energy ,0.269,0.639,0.909
25,Inpex ,0.541,0.367,0.908
26,Bashneft,0.892,0,0.892
27,Devon Energy ,0.381,0.507,0.889
28,BHP Billiton,0.333,0.521,0.854
29,Repsol,0.271,0.551,0.823
30,Ecopetrol,0.607,0.167,0.774
31,EOG Resources,0.497,0.275,0.772
32,Suncor Energy ,0.713,0.003,0.715
33,Marathon Oil ,0.538,0.146,0.683
34,Hess ,0.457,0.108,0.565
35,Imperial Oil ,0.527,0.025,0.552
36,Encana ,0.081,0.467,0.548
37,Noble Energy,0.173,0.318,0.49
38,BASF,0.134,0.348,0.483
39,EQT ,0.037,0.412,0.449
40,Range Resources ,0.134,0.309,0.443
41,Continental Resources,0.312,0.113,0.426
42,OMV,0.269,0.151,0.42
43,Antero Resources,0.042,0.368,0.41
44,KazMunaiGas EP,0.382,0.018,0.4
45,YPF ,0.25,0.139,0.389
46,Southwestern Energy ,0,0.38,0.38
47,Cenovus Energy ,0.326,0.048,0.374
48,Linn Energy,0.199,0.164,0.364
49,Woodside Petroleum,0.049,0.311,0.36
50,Husky Energy ,0.215,0.128,0.343
51,PTT ,0.106,0.211,0.317
52,Consol Energy ,0,0.312,0.312
53,Pioneer Natural Resources ,0.198,0.104,0.302
54,Cabot Oil & Gas ,0.011,0.289,0.3
55,WPX Energy,0.072,0.203,0.275
56,SK Innovation ,0.263,0,0.263
57,Whiting Petroleum ,0.219,0.025,0.244
58,Murphy Oil ,0.179,0.063,0.242
59,QEP Resources ,0.094,0.139,0.233
60,Newfield Exploration ,0.134,0.09,0.223
61,Dragon Oil,0.159,0.043,0.202
62,Sasol ,0.115,0.085,0.201
63,Ultra Petroleum ,0.014,0.186,0.2
64,Santos,0.027,0.167,0.195
65,Concho Resources ,0.13,0.064,0.194
66,Denbury Resources ,0.164,0.027,0.19
67,Freeport-McMoRan,0.152,0.031,0.183
68,Maersk Group,0.174,0,0.174
69,MEG Energy ,0.173,0,0.173
70,SandRidge Energy,0.081,0.076,0.157
71,Crescent Point Energy ,0.146,0.011,0.157
72,GDF SUEZ,0.044,0.111,0.155
73,Pacific Rubiales Energy ,0.124,0.03,0.154
74,SM Energy ,0.084,0.065,0.148
75,JX Holdings ,0.146,0,0.146
76,Cimarex Energy ,0.074,0.07,0.144
77,Mitsui & Co ,0.048,0.095,0.142
78,Penn West Petroleum ,0.1,0.036,0.137
79,Polish Oil & Gas,0.033,0.1,0.132
80,MOL,0.076,0.055,0.131
81,Energen ,0.088,0.039,0.128
82,TAQA,0.066,0.057,0.123
83,Oil Search,0.026,0.088,0.114
84,Oil India,0.062,0.051,0.113
85,ARC Resources ,0.046,0.066,0.112
86,Genel Energy ,0.107,0,0.107
87,Canadian Oil Sands ,0.102,0,0.102
88,Energy XXI,0.076,0.02,0.096
89,PDC Energy,0.055,0.04,0.095
90,Oasis Petroleum ,0.084,0.01,0.094
91,Tourmaline Oil ,0.014,0.079,0.093
92,Rosetta Resources,0.056,0.037,0.093
93,RWE ,0.03,0.063,0.093
94,National Fuel Gas,0.018,0.071,0.088
95,Peyto E&D  ,0.008,0.079,0.088
96,Xcite Energy ,0.086,0.001,0.088
97,Tullow Oil,0.077,0.01,0.087
98,Energi Mega Persada ,0.016,0.069,0.085
99,Breitburn Energy Partners,0.053,0.028,0.081
100,Enerplus ,0.043,0.037,0.08